,geo_A_lat,geo_A_lon,geo_B_lat,geo_B_lon,geo_A_coordinates,geo_B_coordinates,geo_A_id,geo_B_id,id,created,project_id,task_id,user_id,user_ip,finish_time,timeout,calibration,external_uid,media_url,info,task_created,state,quorum,task_calibration,priority_0,n_answers,fav_user_ids
37,4.717038487,50.43804422,28.22037665,48.20647998,"(4.71703848748, 50.4380442245)","(28.220376654699997, 48.2064799825)",38,695,224000,2024-01-31T11:09:17.853517,761,384239,,47.167.220.10,2024-01-31T11:09:23.320730,,,,,"""A""",2024-01-17T18:58:31.686039,completed,0,0,0,1,
38,-58.48794169,4.235346609,8.113503714,10.58765751,"(-58.4879416942, 4.2353466091600005)","(8.11350371368, 10.5876575065)",39,3876,224078,2024-01-31T11:33:50.499849,761,384240,,47.167.220.10,2024-01-31T11:33:58.777975,,,,,"""A""",2024-01-17T18:58:31.806823,completed,0,0,0,1,
39,66.29587933,63.63221361,-123.0522319,43.32258815,"(66.29587933479999, 63.6322136095)","(-123.052231944, 43.3225881543)",40,1288,224001,2024-01-31T11:09:23.678974,761,384241,,47.167.220.10,2024-01-31T11:09:30.226271,,,,,"""B""",2024-01-17T18:58:31.921847,completed,0,0,0,1,
40,17.75821054,48.29134229,21.89450205,5.312234267,"(17.7582105426, 48.2913422867)","(21.8945020536, 5.312234266580001)",41,111,224222,2024-01-31T12:37:07.882934,761,384242,,47.167.220.10,2024-01-31T12:37:11.560660,,,,,"""B""",2024-01-17T18:58:32.050093,completed,0,0,0,1,
41,39.81925714,45.47873114,46.70620339,-23.50102979,"(39.8192571394, 45.4787311415)","(46.7062033937, -23.5010297862)",42,3402,224002,2024-01-31T11:09:30.578723,761,384243,,47.167.220.10,2024-01-31T11:09:33.949636,,,,,"""B""",2024-01-17T18:58:32.151799,completed,0,0,0,1,
42,-75.47873132,0.421770866,55.62054397,56.9268925,"(-75.47873131829998, 0.42177086626)","(55.620543974899995, 56.9268924977)",43,3042,224079,2024-01-31T11:33:59.146073,761,384244,,47.167.220.10,2024-01-31T11:34:27.222531,,,,,"""A""",2024-01-17T18:58:32.296578,completed,0,0,0,1,
43,-47.49095482,-24.70022539,-94.80889113,29.96167516,"(-47.4909548184, -24.700225392199997)","(-94.80889112620001, 29.961675164699997)",44,4487,224003,2024-01-31T11:09:34.319754,761,384245,,47.167.220.10,2024-01-31T11:09:40.721882,,,,,"""B""",2024-01-17T18:58:32.425898,completed,0,0,0,1,
44,0.894310192,49.48473757,18.00158453,-7.669798679,"(0.8943101921100001, 49.4847375707)","(18.0015845322, -7.669798679149999)",45,4173,224282,2024-01-31T12:42:04.819464,761,384246,,47.167.220.10,2024-01-31T12:42:07.440377,,,,,"""B""",2024-01-17T18:58:32.536230,completed,0,0,0,1,
45,17.61025424,-4.664223846,46.18851497,-24.44136266,"(17.610254240699998, -4.66422384566)","(46.18851496510001, -24.441362662800003)",46,1505,224004,2024-01-31T11:09:41.050484,761,384247,,47.167.220.10,2024-01-31T11:09:43.898477,,,,,"""B""",2024-01-17T18:58:32.665026,completed,0,0,0,1,
46,-87.64936768,34.7932251,-99.15800287,40.66669394,"(-87.64936768049999, 34.7932250972)","(-99.1580028699, 40.6666939408)",47,1332,210735,2024-01-21T08:36:20.188626,761,384248,,47.167.220.10,2024-01-21T08:36:31.970040,,,,,"""B""",2024-01-17T18:58:32.842735,completed,0,0,0,1,
